image_id,filename,codec,quality,ssim,psnr,msssim,msssim_db,bytes,bpp,perceptual similarity
11,kodim02.png,guetzli,93,0.9508168703296688,38.00929821444795,0.9927445611820216,21.393363157605908,83995,2.563323974609375,0.013204927556216717
11,kodim02.png,guetzli,91,0.9394683521111218,37.07121517488923,0.9905028683833424,20.224075432542286,70191,2.142059326171875,0.019430506974458694
11,kodim02.png,guetzli,89,0.9299898054054729,36.42049617048301,0.9885845590524321,19.425073082300845,63009,1.922882080078125,0.026778506115078926
11,kodim02.png,guetzli,87,0.918925880930865,35.76478389039365,0.9861764258250267,18.593796527809594,53843,1.643157958984375,0.03447069972753525
11,kodim02.png,guetzli,85,0.9095268441111085,35.26641191751474,0.9841126924139845,17.98949696223158,48035,1.465911865234375,0.04234262928366661
12,kodim20.png,guetzli,99,0.9887040551006782,43.285272195859434,0.9989354015530443,29.728141717148816,171814,5.24334716796875,0.00243054935708642
12,kodim20.png,guetzli,97,0.9717304913345256,40.064102797504226,0.9973385888711849,25.748880314298308,92918,2.83563232421875,0.010124330408871174
12,kodim20.png,guetzli,95,0.9643409199928659,38.40900198821139,0.9964915383620487,24.548832677505747,69959,2.134979248046875,0.013645392842590809
12,kodim20.png,guetzli,93,0.9572960563550583,37.293018866343445,0.995563281209084,23.529380969592882,53536,1.6337890625,0.01637871377170086
12,kodim20.png,guetzli,91,0.9502824816705209,36.37848528205453,0.9945980953553687,22.674530863233088,43766,1.33563232421875,0.021497201174497604
12,kodim20.png,guetzli,89,0.9438414769385818,35.59794513969279,0.9937436727552313,22.036805430555777,37537,1.145538330078125,0.02622174099087715
12,kodim20.png,guetzli,87,0.9379040989243679,34.96147644918552,0.9928639302003498,21.465409106702364,34751,1.060516357421875,0.030598880723118782
12,kodim20.png,guetzli,85,0.932996311123889,34.47863921944035,0.9920486809919306,20.99560822235255,31071,0.948211669921875,0.03375305235385895
13,kodim24.png,guetzli,99,0.9899341895240928,39.46443954873361,0.9988519650859078,29.40044903952839,189431,5.780975341796875,0.002873543184250593
13,kodim24.png,guetzli,97,0.9806198887362672,37.024571667875705,0.9976870906650149,26.358413910458193,142316,4.3431396484375,0.006850692443549633
13,kodim24.png,guetzli,95,0.971055172447763,35.42351716961791,0.9963738084633312,24.405492600525886,113040,3.44970703125,0.011605977080762386
13,kodim24.png,guetzli,93,0.962395460947778,34.35143364599633,0.9950702473271793,23.071748688614345,83988,2.5631103515625,0.01657934859395027
13,kodim24.png,guetzli,91,0.9530570530174192,33.41325360004305,0.9936238713993488,21.954429322032325,73172,2.2330322265625,0.022230781614780426
13,kodim24.png,guetzli,89,0.9446946325659106,32.64809360344935,0.992165578984265,21.059930935109733,64933,1.981597900390625,0.02796989120543003
13,kodim24.png,guetzli,87,0.9359772415155065,31.95249978751017,0.9906402955689575,20.28737865577497,59540,1.8170166015625,0.03329123929142952
13,kodim24.png,guetzli,85,0.9279246631902415,31.410959959706133,0.9891209977098336,19.63410931820153,52496,1.60205078125,0.03706299141049385
14,kodim05.png,guetzli,99,0.9907442117469034,39.129868930490964,0.9990385073709874,30.1705404079777,188433,5.750518798828125,0.002051091054454446
14,kodim05.png,guetzli,97,0.9817951800913085,36.165744974310996,0.9980257325634366,27.045940176457517,141430,4.31610107421875,0.004364991094917059
14,kodim05.png,guetzli,95,0.9721660360118797,34.26548312431731,0.9967790870030384,24.920210061488923,108885,3.322906494140625,0.0069912513718008995
14,kodim05.png,guetzli,93,0.9629300839191948,32.94487441976801,0.995516506367173,23.48383442662054,92506,2.82305908203125,0.01028084009885788
14,kodim05.png,guetzli,91,0.9535404438995002,31.881356466292576,0.9941602123295288,22.336029431648395,83320,2.542724609375,0.013770289719104767
14,kodim05.png,guetzli,89,0.9446436919102377,31.072004036422292,0.9927769412913835,21.412788552041455,74853,2.284332275390625,0.017106182873249054
14,kodim05.png,guetzli,87,0.9351961684371956,30.354705543345805,0.9911931347701123,20.55178649547998,68153,2.079864501953125,0.021733790636062622
14,kodim05.png,guetzli,85,0.9261749545187654,29.785094124662805,0.9897408606228846,19.88889069969481,63503,1.937957763671875,0.025991978123784065
15,kodim21.png,guetzli,99,0.9863097005620872,41.27017102015893,0.9985335525116993,28.337334839616762,179989,5.492828369140625,0.004992213100194931
15,kodim21.png,guetzli,97,0.974688781970007,38.25985513457037,0.9971788278963281,25.495704191990644,133832,4.084228515625,0.010824254713952541
15,kodim21.png,guetzli,95,0.9641239182935538,36.3885331577925,0.9958058714301461,23.773582604891192,101639,3.101776123046875,0.019179128110408783
15,kodim21.png,guetzli,93,0.9542288547634202,35.108651777914474,0.9944475372622792,22.555143472966495,82541,2.518951416015625,0.029895396903157234
15,kodim21.png,guetzli,91,0.9443833825551186,34.123593889258586,0.9928405963106433,21.451231488103883,66693,2.035308837890625,0.049274150282144547
15,kodim21.png,guetzli,89,0.9353845690205902,33.35885407571843,0.9914155941123699,20.66289756257547,57120,1.7431640625,0.06798386573791504
